text,label
"只是一个应错阳差的片子，至于么？
慢慢理解了流行其实就是一个蝴蝶效应",1
厉害的剧本。剧本真是电影核心中的核心啊，可以在这么多年后依旧觉得精彩,5
年少时的感动，这一辈子都无法忘记。征服了全世界的不仅仅是宫崎骏老爷子高超的创作兼执导力，吉卜力精湛的制作以及回归纯真的主题内核，那些寓意深长的日本民间神话和传说更让整部电影充满了魔力。,5
这不但是撞车以来最差的奥斯卡最佳影片，还是部最“坏”的奥斯卡最佳影片。,1
经典到不知道用什么言语来评价它,5
不止一次的怀疑所有人都在演戏，而我却蒙在鼓里,5
第一次看默片感觉还不错，没以为的那么无聊。黑白电影里有着那个年代特有的不是十分成熟的幽默浪漫和悲哀。,4
"确实烂尾, 进退失据, 妄想用个人来拯救世界, 最后所有的人物全部崩坏。其实大体思路是对的， 应该像东京喰种那样， 用第三方团结其他人，凭空制造反派，然后解决他结局。但使用主角做反派，就不得不让更多的角色去填这个坑。其实最简单的思路，发现墙外的人， 马莱统治了世界，因为巨人之力， 残存的各国也研究出了巨人，杀出的自由之翼们成了生力军。最后几场大战结束就完了，写成了个不伦不类呀。",1
这一家人能不能放过女人啊！！！五千年性压抑的结果就是无限压榨女性吗？！他爸骗婚也就罢了居然还想骗两代人，说什么装傻才能抱孙子呢恶心死人了！！热评有事吗都？结婚是为了繁衍后代？？下次给你安八个子宫让你同时给八个gay代孕这福气你要不要啊？理解当时创作环境不能对骗婚有太深刻的理解但不好意思新时代到了我就要去批判！！都说性向是天生的弯的既然不可能直那我希望各位还想着骗婚代孕的gay想明白了老天爷给这个性取向你就注定断子绝孙永远别再变着法的想着打女人子宫的注意！！,2
我们又何尝不是每个楚门，赚着自己意识所及的钱、过着能力范围内的生活，也做着自己思想边界内的梦。日复一日，年复一年，从生到死，从懵懂到略懂，走马灯似的匆匆走过这一生……代代重复，无穷尽也。一边忙着糊口，一边好奇活着的意义，到死也只是目光所及范围内的挣扎，与蝼蚁无异。敬畏生命，敬畏大自然，也许自己也正是被圈养者之一。,5
乱吃东西的话，会变成猪噢！名字之于东方人的意义，忘记了名字就忘记了自己。无脸男真是太可爱了,4
雨中的那段，让我也有种在雨中嬉戏的感觉。那天也出去雨中漫步吧,5
为什么不找意大利人演意大利人，日耳曼人的粗旷脸真的太出戏了……,5
二刷极烂，没一点好,1
我们也许进化了，但内心深处我们仍旧是动物。偏见，歧视，评价，用固有成见把别人框在小框框里，只是为了自己过的容易一些。那么努力地证明自己是对的，却也不想让别人给自己贴上标签。生活有点疯狂，我们经常会犯错。不管你是哪一种，改变从你开始。,5
讨厌颠覆世界观的设定，母体栽培区真恶心。已经死了的男主被女主KISS一下就复生蜕变救世主，好吧人家是科幻你别当真。枪战戏好假，男女主角一身黑衣闯大楼太二了，慢动作更像恶搞。,2
如果有一天这部电影票房超过了《战狼2》，中国电影就成了。,5
譬如说女追男然后女的放弃然后男的突然开窍了开始反追然后女的拒绝然后男的继续无所不用其极然后你来我往几个回合最后皆大欢喜在一起的情节其实隽永美好的跟灰姑娘也快差不多了，我最喜欢也不是那句好莱坞俗套一般的“有天你将遇到一个人巴拉巴拉”，而是小孩儿应该怎么正能量的长大，遇到爱情也不卑微,5
大概只有前十分钟是我喜欢的部分 排名高的离谱,3
看过太多遍了，对人性的许多方面都有独到的阐述和理解，每看一次都有不同体会,5
我很难相信电影史上居然有如此牛逼的艺术家,5
喜欢玛蒂尔达抱着盆栽和李昂一起走在街上的那个镜头。,5
很少看一部电影看三遍，这部电影除外，除了杰克与肉丝的爱情，我更喜欢影片中，让女人与儿童先走的呐喊，面对死亡不停息的演奏者们等等，人性的光辉总是一部影片最吸引人和最打动人的。,4
翻拍！,2
不管大家怎么为这个电影附上美好纯粹的感情色彩，说他们内心世界年龄是同步的，但是我无法忽略这就是一部说一个未成年幼女和一个大叔的接近爱情的故事，光是这点我就无法克制自己的反感，心无旁骛地看。让我不解的是竟然没有多少声音在质疑这点，而大家都用美好的滤镜去过滤粉饰这样一个原则问题,2
看不起搞笑型男人的人，请看一下本片。这哥们的境界能完爆多少人。,5
"看完真想说，如果真的有上帝，那一定是甘道夫这样的，睿智，博爱，仁慈，果断，幽默的老头儿，
山高水远，有缘再见",5
蛇吞象，乱七八糟。极有可能是片方和制片人的责任，非要把一部电影就能讲完的续集硬拆成两部，导致第三部其实是一个无比拖沓的第二部第三幕，观影体验相当割裂。为了填鸭，引入了太多根本没认真描写的刻板新角色，而主角们全部变成残废：尼奥像日漫男主般被牵着鼻子走，墨菲斯全程看戏，崔妮蒂彻底被浪费了，死都死得这么漫长……锡安决战的战术编排堪比权游临冬城打夜王，吐槽都懒得。原作高级感的重要元素之一，是在于其看似不经意间透露的神性隐喻，结果这部直接把整个耶稣和大洪水意象塞到观众嘴里生怕不被理解，太让我失望了。唯一满意的是史密斯的剧情升级。,2
一场梦。中国最好的科幻片。,5
这对杀手萝莉给人感觉很温馨，两人之间有一种说不清道不明的羁绊，在故事过去好久之后也不会褪色。,5
我们对世界的认知原来是构筑在语言上的，怪不得二十世纪哲学最重要的核心课题是语言。,4
这部片子让我想到一个体制内的同事，他的想法是：动画片就是给小孩子看的，而且多数三观不正，他将来绝对不会让自己孩子看动画，要从小给他们进行爱国主义教育。他刚结婚，正在和他媳妇备孕。讲真，我真同情他们未出生的孩子。,5
没有被催泪，剧情老套。看完总感觉这电影的三观有点儿问题，亡灵世界的槽点简直不要太多，孤独的人就算死后也要继续灰飞烟灭，比死了还要凄凉一万倍吗！马太定律居然在死鬼世界也运行自如，感觉诸位都白死了一回了啊。最可悲的是穷人死后都不知道自己是被富人害死的，还要继续在地下被富人欺负！,3
为了释放情绪来看八公后半段真的哭了，谢谢你小八,5
飞屋是很不错的作品，但又把原型为女性的故事硬生生偷给了男。“动画片里，精彩一生的强势老太变成了一个深情老头。女性的精彩又被偷给了男性。”,2
看了以后久久不能忘记，已经循环播放片尾曲好几天了！,5
本来前1个小时以为全都是在讲爱情，坚持下去就好了。,5
赤果果的早恋啊！在天朝肯定要被禁！,4
"七夕节看了这部喜剧与悲剧交融的经典。
贝尼尼自导自演，女主角也是他妻子~获了奥斯卡最佳男主角和外语片~
前半部分让我笑cry，各种绝妙的剧情，谜语、钥匙、帽子什么的！
中间在院子里的时间跳跃桥段很棒！
后半部分见真情，暖人心！贯穿始终的Humor是他面对苦难最强大的武器，这种人生境界是最伟大的",5
巨制就是巨制魔幻这题材少了美刀那不是人玩的感想如下：幽灵大军战斗力堪称最强阿拉贡你早调人马来省事好多 就是看着像清鼻涕 甘道夫你这个白袍儿怎么灰头土脸没有人家萨鲁曼当得有气势捏？精灵弓箭手萌~萌~萌~一大笑点是矮人金利 四个霍比特人就数弗罗多不讨喜这是角色设定没有办法 嫁人就嫁阿拉贡介样的人不过丽芙你脸也太长了我设定成宽屏还盛不下你的脸 有人说山姆和弗罗多其实是断背我看很有根据 所谓那会心一笑一切都明了 那额头一吻你别再敲打我心门 额我又腐了 最后压轴凯特你粲然一笑我瞬间倾倒！总结：60块收这6张D9值,5
动画本身是不错的，一贯低幼的迪斯尼，拍出了皮克斯的水准。但是把电影当做传播价值观的工具，是无法令人享受到由单纯艺术带来的更为纯粹的乐趣。这段时间感觉整个世界都在倒退，西方正如《疯狂动物城》一样，从自由选择走向政治正确；而天朝则越来越像《动物庄园》，在大步流星地奔向朝鲜。,3
笑中帶淚~以為卓別林會跟隨富人從此踏入上流 我錯了；以為卓別林會贏得拳擊比賽 我又錯了；以為制服小偷后正式被富人認可 我依然錯了；以為賣花姑娘愛上了英俊的紳士 卓別林在街角默默的祝福 我還是錯了。。。我想我還沒有看懂這個世界,4
不喜欢这么外露的女主+优越感到天上去的男主视角，女主越变越丑一点不萌，而且有必要这么低三下四抛弃自尊去迎合有一个不喜欢你的人么= =坐在树上看风景的情节还不错。不过双重叙述好歹看出点区别来不行么。半小时都不到就看不下去了。,2
天了噜，这居然是一部迪士尼动画.....,1
比利怀尔德的电影总是那么好看，老律师的一言一行都充满了喜感，法庭场面非常精彩，整个过程中的一些阴暗交易和最好的反转，有让影片有了一丝黑色电影的气质，力荐！,5
90年代刚看到的时候就觉得是烂片，完全不喜欢这种风格。都不想列入看过的电影列表。最近看了一些披露文化冷战的文章，觉得还是有必要尽自己的一分力，来评一下，区分好坏。无意中看到也有一个人说这是烂片，更坚定了要评1星的信心。,1
蓝洁瑛当之无愧靓绝五台山啊！,4
每当听到泰坦尼克号主题曲时，都能联想到当时生离死别的场景。,5
从未有一部电影看得那么愤怒而绝望，面对人性中的恶，有时候真的觉得自己太弱小，无法帮助那些苦难中的人。英雄二字，好写难做。,5
有梦想谁都了不起,4
"Forrest Gump, a man who didn't ask anything in life and got it all. 
why do I even bother to watch a film like this?",1
黑色幽默的极致展现。人生何处不相逢啊！！！喜欢片子的色调，但我还是不喜欢英国腔！！！,5
"看的263分钟加长版，三部曲终于看完了，主角光芒虽然万丈，但是每一个配角都有血有肉，No man can kill me. I 'm no man. I can't carry it for you,but i can carry you.台词句句经典。",5
关于亲情、友情、爱情的一部电影，故事完整，结局美满。看完吃了顿超级丰富的夜宵，大概是难以再见的遗憾被治愈了吧，以后还会再见，挺好的。,5
青春版当莎莉遇到哈利，单纯版伴我同行，温柔版危情十日，罗布雷纳集大成之作，这才是搞对象的必看电影,5
感人的经典好电影，剧情，拍摄，表演都几乎完美！,4
经典好看，昨天又看了一遍。好电影总能让人回味,4
"一个关于寻找自我的故事
我并不太喜欢",3
第70届奥斯卡最佳影片，全球票房影史第二名，仅次于卡神的《阿凡达》，真正的口碑票房双丰收。,5
hachi的后半生都在等待，暴风哭泣。,5
比较有感染力，不错的片子。很励志，很有人文关怀气息。,5
发人深省，反应了韩国社会的黑暗面，希望我国也能多些这样的片子。,5
不管重温多少遍都还是那么喜欢,5
为巴以冲突来打分,1
带妈妈去看了Coco，因为前几年外公的离世，也因为我生病她不能两边照顾周全的缘故，妈妈对外公一直心有愧疚，看电影的时候她抹了好几次眼泪。看完电影我说“下次不会再说动画片是拍给小孩子看的了吧”，她说“嗯。把‘那一世’拍的那么美好。”，我说“这不正是你希望的吗？”,5
越看越想打麻将,5
如果真有那样一个世界多好。,5
2008年11月28日，第一次看肖申克。那时候观影量还不到五百吧。给五星是见识浅。现在差不多九年过去，我在豆瓣标注看过的已经超过三千，第二次看，还是给了五星。它当然不是最好的片，但是太滴水不漏了。,5
不愧是好莱坞大片，一环扣一环，没想到最后不但逃生生天还偷偷把典狱长的贪污转移了出来，证据也送达了出去，帮助了曾经关心过自己的人，情节安排的巧妙，演员演绎的也好，是美国的，有爱国情节的我给打四分,4
我以为是萝莉和大叔的爱情打开电影，其实电影中的感情远比爱情细腻的多，守护关怀陪伴，他教会她生存，他没教会她爱情，这是人生啊！还是要表白小女孩，活得超级酷╭(╯ε╰)╮,4
"太好看了，195几年的片子现在看都觉拍得那么有吸引力，make u laugh,make you move,真强，，而且我觉得弹钢琴那个配角，太有喜剧的天赋了，女主角也是我喜欢的类型，cute 的dependend lady，，这个片真的好看，留着，以后再看~~~",5
非常好看的电影，胜过钢琴家。故事以辛德勒为主线，讲述他如何挽救犹太人。开始他只是想空手套白狼发一笔战争财，后来为了省钱雇佣犹太人。再后来犹太人被屠杀的场面、红衣小女孩太触动，他嘴硬心软，能救一个是一个，捞工人的家人。后来倾尽家财写名单救人，花压箱底的钻石从奥斯维辛救女工，宁可亏损也坚决不生产一颗炮弹。印象蛮深的，开始独臂爷爷感谢他的时候他还是不耐烦的，最后收到大家用仅剩的金子打造的戒指他大哭，也是完成了蜕变和救赎。那个纳粹军官我感觉有心理疾病……杀人成瘾。牧师能活下去我感觉也是神迹了。会计不错，是辛德勒的好助手和指引者。另外还是感觉，有祖国的感觉真好。,5
我爱咱们的国家，可是谁爱我呀？！,5
他在折磨我！他让我胸闷气急耳鸣头晕梗咽睡不着！不是出于感动，不是出于人性，似乎是更加接近情感本质的一种莫名的情感，有点类似于委屈和无助。大清剿的那段看了一遍又一遍，红衣小女孩的尸体被挖出来的那段看了一遍又一遍，辛德勒痛哭的那段看了一遍又一遍，无法从中释怀……他们在折磨我！折磨我！,5
这不是父女线，分明是洛丽塔。爱他的眼睛，他们的屋子。神经兮兮的流氓警察最终自然没有落好，不过那个孩子她也已经长大，她的怀里抱着仙人掌，刺得乳头上酸酸的是绒毛般的细刺心芽。,5
很经典，我又看了一遍，剧情特别搞笑，但是整个故事又有深度，笑过后你会回味思考。,5
" 也许每个生命来到这个世界上本来应该是平等的。如今似乎人们已经达成了某种共识，那就是那句仿佛是刻在亘古不变的宇宙中沙尘上的一句话：人人生来平等。但现实的讽刺意义或许就在于此，它不断地，隐约的告诉我们，人人生来不平等。
 任何强者向弱者所表示出的一点点恩惠，都被无限放大了，以至于甚至可以变成为强者罪行辩护的证词。现实不断地让我们怀揣希望，却又一次又一次的将这种希望化为乌有。现实一次又一次的教我们要学会原谅，或许那是因为有些人，尚未见识到真实的绝望。这部电影给五星，因为结局遵循现实没有被和谐成大团圆结局",5
剧情很好，让人感受到善和恶。很喜欢这种警匪片，情节刺激，有很多缜密的细节值得推敲，一场激烈惊险的卧底故事。,4
最绝望是楚门到达天边的一刻…天空都是假的，艹！,4
别的不用多说，就张国荣的音容笑貌我现在还记得一清二楚，那个眼神简直要把人魂勾走，太好看了，简直比巩俐还美，美人啊……,5
喜欢的话，在家里多刷几遍就好，不要变成某些人炒冷饭，骗钱的对象！情怀迟早一天要消耗光的！,5
戏外赏戏，电影里窥电影。可以让任何人都不自觉地、微笑着看完。→2018.7.23二刷。和记忆有落差。,4
还没上小学的时候就跟着大人看过了，虽然那时候不懂什么意思，但有些画面至今仍然记得。这就是经典吧！,5
"-里昂，我想我是爱上你了，你是我所爱上的第一个人。
-你怎么知道，既然你没有爱过。
-我感觉得到。
-在哪里？
-在这里，在我的胃里，它是热的。以前这里总像打了结似的，但现在不会了。
-恭喜你胃病好了，但这不代表什么。 ",4
据说本部影片要么极爱要么极恨 我属于后者＂什么玩意儿＂,1
最好的环节是表演，查尔斯·劳顿的表演近乎入魂，老牌律师的敬业虚弱尖利偶尔的童心，以及收尾的正义感，都不落力的就牵动观者扼腕发笑还是惊讶。配戏的两口子也不弱，女一号还挺美。用光也很考究，景别的节奏感也控制得好（比如男二提监拍照一节）。剧本的悬念给的不多，最后几次猛烈反转拉升的太匆忙,3
令人敬畏，韩国人能够直面社会问题和丑陋现实。,5
看完此片才发现原来华语电影近些年那些好看的喜剧电影源头在这里。一开始众人物轮番出场的时候，有些脸盲，慢慢理清关系的时候最精彩的部分也就到了。英式喜剧一直是高于美式喜剧的存在，此片再次强化了这一点。,5
一开始以为要走悬疑风，没想到是剧情片，高潮太精彩了，对白也很搞，还有男主很帅！,5
这片意识形态也太混杂了。不像励志片，更像福音片。完全没想到阿甘是一个虚构的、集体的、多重历史的投影，这样的角色即便给他加上个人层面的强烈的爱情戏，他依然像是一个空洞的幽灵，很不真实。活在童年创伤阴影之下的珍妮，她的心是那个破破烂烂的小屋。而阿甘的家（心）一直是明亮舒适温馨的。他很幸运，甚至可以说是神光笼罩。他承担着一个拯救者的角色，珍妮、丹中尉，还有很多路人，他们都在阿甘的带领下找到了“神”。可对我来说，一个无法感受苦痛的人（或神），他自然能克服一切障碍，这样轻松的攀爬很难有共鸣。不过也有不错的段落，阿甘跟珍妮在水池里奔赴拥抱，以及他如何讲述奔跑过程中的风景，“我看见日落在水面上的万千闪光，我看见天堂的终极和大地的初始”，虽然不像是阿甘在说，更像是作者在说，但这样的语言太美了。,4
故事讲到这份上了！,5
和华裔二代视角的《面子》前后脚观赏，就能看出李安的视角显然要更切中中式的家庭观，那种对血缘和孝顺的执念就和片中那场艰难的喜宴一样，异常真实，一句“五千年的性压抑”一语道破传统文化的拧巴。当然这是更男性视角的表达，但从“女人还是需要家庭和孩子”“那可不一定”的对话中已经能感受到某种女性自主的新声。最后“四口之家”的设定让我思考到底是对血缘继承观的妥协，还是某种意义上对传统三口之家的反叛。,4
因为这部电影喜欢上让雷诺。,5
"如果我来拍摄结尾,我要让他们相遇却无法相识。",4
爱情，在灾难中永恒……rose和jack永远在甲板上自由翱翔…,5
到现在都记得他们考试那段，哈哈，太有才了,5
14年因种种原因错过在大银幕上观看，在那个虽然很大但也只有60多寸的电视上看完后我的评价是“披着黑科技外衣的通俗剧”，并产生了深深的失望；近六年后居然能等来重映也是意料之外：个人对其核心的认知依旧没有改变，在某些“鸡生蛋蛋生鸡”的关键理论问题上诺兰选择了用爱打哈哈，让本片在叙事上形成了无解的环形悖论，可他对时间相对性的迷醉阐述和寰宇间人类存在的本质思索端的在大银幕上被无限放大到令人动容。,4
"很是失望。本片创意构思和特效场面都还远不够震撼，叙事上有点弄巧成拙，故事发展全部依赖大段大段的对白，不痛不痒矫揉造作的情感戏形同鸡肋，再加上迪卡极为拙劣的演技，使此片不可避免地成为一部平庸之作。
剧情谈不上有多复杂艰深，想象力也远不及《黑客帝国》《移魂都市》等佳作",2
这只是一部假的电影，却是巴勒斯坦人真正的现实。很难过，愿加沙平安！,1
小清新的青春爱情童话。故事很俗套，但拍的很好。同一情景双重角度这一想法很棒。剧本很扎实，干净利落不拖沓。即使配角也对剧情各有用处。《当哈利遇上莎莉》导演罗伯·莱纳回归纯爱题材，果然手法流畅凝练。但就是觉得缺了点什么东西，能让其更完美一点，更动人一点。,4
重温，时间只是好电影的又一个证明。二十年前的经典，二十年后还是，同样的题材，有的过去能做到，有的今天也无法领悟，这就是差距。当故事最后两个老友在蔚蓝大海边重聚拥抱的时候，希望，是最好的，美好的事永不消逝。有人问，为何肖申克的救赎备受推崇。因为这部电影并不是在讲越狱，也可以这样说，它不是为了讲越狱。人活在这个世界，或多或少都会如同片中所述，经历“体制化”，磨难，逐渐麻木，看不到希望，如老布。而这部电影最终告诉你，哪怕过去20年、30年、40年，有希望，就会有美好的事，如安迪和瑞德。观众看完这部电影，内心会跟着这部电影走过一个由绝望到希望的历程。这是一场心灵的救赎，是对观众的。这是肖申克的救赎的伟大之处。,5
好在哪里？笑点没觉得可笑,1
"看到泪飙，世上最温情的杀手。
幸运的姑娘在12岁就遇到了真正的男人。
",5
孤独体的自传。想来我在有朝一日也会与他们灵魂的人行道交汇,5
看这种片子真的太需要心理能量了TUT，分两次看完的。斯皮尔伯格真的是当代巨匠了，无论是电影技法还是电影深度，都做到沉稳里有狡黠，悲悯中藏克制，是一种哀恸而冷静的凝视。,5
"重看，泪流满面。陈凯歌构筑起的是一个完美的属于戏的电影世界，用极其精湛、经得起拆解的视听语言，去托举故事以及表演，没有一丝一毫差池。每一句台词都有弦外之音，每一个眼神、动作又包含了千言万语。那么含蓄、得体又直言不讳地触碰中华文化中最糟粕也最精华的东西，在跌宕起伏的历史里讲述一种惊心动魄的人生。
每当看到哥哥那张风华绝代的脸，那张决绝地把自己完全托付给一个事物的脸，我就想：原来人可以是那样活着的，注定活成一个悲剧，一个传奇，接受万人景仰。那不是幸福的一生，却也是无从选择的一生。个体无法与时代抗衡，所以他没有悔恨，只是这样度过一辈子。少一年、一天、一个时辰，都不是一辈子。",5
美国经济大萧条时代的产物。我的第二部卓别林大银幕，竟晚于昨天看的《寻子遇仙记》15年。2000、2003年经博洛尼亚电影院等两次修复版本。太多经典画面镜头！不过也并没有什么爆笑不止这样夸张。格局是比单纯关注人性要更大了。就是女主真的不像儿童了……虽然对话依然用全幕字幕表示，但酒馆里表演节目卓别林开口唱歌了，应该不算单纯默片吧？天幕据说提亮了银幕，这部没什么感觉，还行吧。内嵌中字。豆瓣Top250的第88名，9.3高分，但个人还是更喜欢The Kid. 今天状态不好太困了天幕新彩云超级巨幕厅。五成左右。果然还没放完啪就亮灯了！这次北影节商业影院都有映后掌声了不错。散场门口又碰见那个胖男坏店长。11th BJIFF D7-15,4
这是个绝妙而又惊悚的创意。楚门的一生真的是一场实况直播，直播结束了，那么观众也会换台。整片的剧情惊心动魄，配上钢琴曲充满着资本主义社会的气息，而且想传达给我们的信息已经非常明确，概念特别好。,5
"今天在CCAV上重看了一遍，果然是有删节，而且画面又改成4：3了，呵呵～
豆瓣上本片的评分人数超过10万，但一星率竟然为0％，可见其受认可的程度。不过我个人认为华人黑帮那段可有可无，吕克贝松经常要塞些他讨厌外国人的私货……",4
Viggo很棒，电影勉强三星半，90年代式高效叙事。怎样才能屏蔽掉你瓣某些碍眼的精神白左短评？,3
一代经典，据说上映的时候票房异常惨淡，也没有什么奖项。但现在还是西游系列标杆性的代表。,5
玉帝的配音略显犀利了吧,3
抬眼的那刻，她走进他的视线，于是琴键缓缓落下，流淌出清澈而柔和的旋律，追随着她的脸庞从一个圆窗走到另一个圆窗，温暖的旋律仿佛凝聚了焦点，穿越时空成为一种定格。这大概是我见过用音乐表达一见钟情最贴切也最唯美的一幕。,5
金凯利的电影里含义非常深刻的一部，半喜剧的味道，但是却不像《永恒心灵的美丽阳光》那么严肃。记得剧本应该是拿过奖的吧？可怜的金凯利大叔，你就不要去纠结奥斯卡小金人了吧，你已经够辉煌了~ ,4
童年幻灭，如今看出了隐喻的观众这样感叹。我不禁回想了童年的真实情景：那果真比隐喻更美好吗？欺瞒、霸凌、杯葛、推诿，世间常见恶习，在小学校园里都有其种子。退一步讲，以时代隐喻为纲去把握一部廿年来打动了不同人群的电影，是否有些舍本逐末？本片成功之处，仍在于宫崎骏对大人/孩童两个世界的巧妙交融，也即他简洁到位地刻画了成长的痛与快。第一处妙笔是千寻父母变猪，这一下子敲碎了亲子支配关系，并迅速展开了油屋中的另一套关系（人人被剥夺姓名，或个性）。父母不可依靠，而要依靠自己去拯救父母；没有比这更恐怖、更迫切的成长动机。第二处妙笔是水上电车之旅，随着电车驶向海洋，这个故事一笔荡开、获得了深沉的情感力量。找回姓名的呼声最终成为强音。现实中的千寻还未成长，那些都是童年随想；但她会从中汲取温情，正如本片之于我们。,5
一堆批小将狂吹这电影，天天喊着要申遗。我到要来看看这电影做的到底有多么惊世骇俗。看完我想说，请问这是在干什么？我在看一群疯子吗？为了讽刺而讽刺，隐喻又显得那么刻意，搞笑拙劣的讽刺让人只觉得做作。就好像硬要拍成这似乎很高深又搞得好像蕴含着好大道理的模样，生怕你看懂。,1
如果豆瓣能打六星，一定给！ ,5
托纳多雷是怎么做到把一切都拍得这么假的,2
保守主义意识形态反智宣传片。但电影本身还是不错给多一星。,3
大话西游真是神作啊，时空穿越（不过漏洞有点多），三生三世（云图）？命中注定，双重人格，狗血三角（换女主啊），脑洞出奇久经不衰的各种梗各种台词，每个演员完美的演绎。国语配音有句台词，桥多麻带，可是粤语原本竟没有的。,5
没觉得那么好,4
懦怯囚禁人的灵魂  希望让人自由 强者自救  圣者渡人 ,5
皮克斯总能在从没变过的母题下找到温暖的设定，使电影院里传来女孩的抽泣声。,4
难以想象 ！一个展现人性光辉的电影会被如此网暴！,5
昨天第一次完整看月光宝盒。这么高的评价真是可怕。记得“又升天了”段子在几岁的时候看过，极为模糊，可能是许多人的情怀吧，毕竟大家小时候能看的电影并不多，一有电影就能聚精会神地被吸引，体验就好。周星驰的电影我就只能当做普通搞笑片...没觉得比什么逃学威龙之类那年代一大坨的喜剧好。,3
太棒了，歌舞精彩，服装道具华丽又具有格调，表演夸张却不做作，果然是经典难以复制，Donald O'Connor像极了一直可爱的花栗鼠 =w=,5
梁朝伟已经无与伦比了，那忧郁的眼神，欧~~,4
作为一部1936年的老电影，里面出现的很多概念是超前的，诸如机械自动化、考勤机、视频监控、大屏显示等…而科技高度发展的代价，是对个体的扭曲与异化。个体在流水线上重复劳动，工作之外的时间被逐渐侵蚀，沦为社会底层而被淘汰抛弃，被迫参与到游行罢工中，甚至参与犯罪。你就会发现，八十多年过去了，科技不断在发展，而社会阶级却早已固化，没有什么变化。无论是逆来顺受者或是叛逆者，都无法逃离这部巨大社会机器的碾压。可是又能怎么办呢？最后还要强颜欢笑。这些难以调和的矛盾，使得这部影片在今天看来依然具有现实意义。,5
四平八稳的片子，精致的套路，一路都是能想到的通俗剧情，基本没有什么大的起伏，主要看演员，明知道是屡试不爽的美式套路，你还会微微感动，也许这就是好莱坞厉害的地方之一。,4
"黄建新早期招安前作品。
王副馆长前期锐意进取，后期因为劳累、家事以及知道小阎这个废物是关系户后，就躺平了。
猴子、老宋忠心耿耿，猴子能力更是突出，李会计太势利眼了。
马副乡长被写成工具人，一个副乡长的能力不可能这么差。后来王副馆长与他一起讨论书法，是因为他们俩之间的权利斗争对事不对人。
小阎纯关系户罢了，就是一个铁废物。被王副馆长的爹、临时工猴子先后单杀。
冷局长与徐副局长这两个角色，得好好揣摩一下。",5
法国《失恋33天》，全是聒噪无趣的对白和装模作样的悲喜交加。,2
